explained_variance,fps,value_loss,nupdates,total_timesteps,policy_entropy
0.9825794789940119,595,0.008178465068340302,278500,5570000,2.0271596908569336
0.9485258311033249,595,0.01236982736736536,278600,5572000,2.12677264213562
0.9940601559355855,595,0.005017116200178862,278700,5574000,1.96280038356781
0.8963545709848404,595,0.016755787655711174,278800,5576000,1.8437461853027344
0.9346620440483093,595,0.0034944708459079266,278900,5578000,2.1233839988708496
0.9935272489674389,595,0.0039575910195708275,279000,5580000,1.9244190454483032
0.9781064763665199,596,0.0156361423432827,279100,5582000,1.9690961837768555
0.975963044911623,596,0.009881814941763878,279200,5584000,1.9791463613510132
0.4251643419265747,596,0.028692102059721947,279300,5586000,1.7998695373535156
0.9941842127591372,596,0.0030075733084231615,279400,5588000,2.0387492179870605
0.9737178441137075,596,0.010404135100543499,279500,5590000,1.8798803091049194
0.9945156387984753,596,0.004362254403531551,279600,5592000,1.8453058004379272
0.9439622536301613,596,0.009451244957745075,279700,5594000,1.7388451099395752
0.9898802489042282,596,0.002269777934998274,279800,5596000,2.1593284606933594
0.9965920129325241,596,0.0022195770870894194,279900,5598000,1.9440559148788452
0.949823159724474,596,0.02328924462199211,280000,5600000,1.9087473154067993
0.9829465504735708,596,0.006205400917679071,280100,5602000,2.025094509124756
0.9933898714371026,596,0.0021134100388735533,280200,5604000,2.0133681297302246
0.9745284095406532,596,0.012452026829123497,280300,5606000,1.9910662174224854
0.9304878786206245,596,0.030837252736091614,280400,5608000,1.8106848001480103
0.9755844809114933,596,0.010902255773544312,280500,5610000,2.104951858520508
