nupdates,value_loss,policy_entropy,fps,total_timesteps,explained_variance
24800,0.02682345174252987,2.8734934329986572,657,496000,0.9333277642726898
24900,0.0003291541652288288,2.8800277709960938,657,498000,0.9786911550909281
25000,0.09517709910869598,2.7141025066375732,657,500000,0.9124952852725983
25100,0.001999506028369069,2.728541612625122,657,502000,0.9988763920264319
25200,0.0013257863465696573,2.716719388961792,657,504000,0.9994070876273327
25300,0.004971647169440985,2.8672852516174316,657,506000,0.8161531537771225
25400,0.0008390516159124672,2.6902191638946533,657,508000,0.9992691478109919
25500,0.03956882655620575,2.615044355392456,657,510000,0.9783679340034723
25600,0.004277773201465607,2.5602173805236816,657,512000,0.9970720480196178
25700,0.0005889919702894986,2.6040852069854736,657,514000,0.9994627923588268
25800,0.009224193170666695,2.818429946899414,657,516000,0.9919248968362808
25900,0.0072419592179358006,2.4189963340759277,657,518000,0.9975672727450728
26000,0.005825871601700783,2.378159523010254,657,520000,0.9960442525334656
26100,0.0347040593624115,2.8368782997131348,657,522000,0.9316606298089027
26200,0.01021673996001482,2.602313756942749,657,524000,0.995720025151968
26300,0.0013732857769355178,2.599466323852539,657,526000,0.9993523880839348
26400,0.0011588989291340113,2.7644402980804443,657,528000,0.9994438112480566
26500,0.006382836494594812,2.4332687854766846,657,530000,0.9971167074982077
26600,0.008460963144898415,2.500683307647705,657,532000,0.9952986119315028
26700,0.00668295007199049,2.492997407913208,657,534000,0.9944748114794493
26800,0.007200525142252445,2.8290138244628906,657,536000,0.9881168138235807
26900,0.018091941252350807,2.7183995246887207,657,538000,0.9907594807446003
27000,0.02118048444390297,2.3696351051330566,657,540000,0.9915922060608864
27100,0.047835804522037506,2.5466606616973877,657,542000,0.969905287027359
27200,0.006125529296696186,2.8090157508850098,657,544000,0.9905223567038774
27300,0.0033677094615995884,2.80440092086792,657,546000,0.9889974016696215
27400,0.003686364274471998,2.6956610679626465,657,548000,0.9964557783678174
27500,0.045693956315517426,2.8344616889953613,657,550000,0.8078110665082932
27600,0.00848783366382122,2.7864644527435303,657,552000,0.9658222571015358
