fps,value_loss,nupdates,policy_entropy,explained_variance,total_timesteps
845,0.0002155227557523176,29600,1.7901376485824585,0.489871621131897,592000
845,0.00013082467194180936,29700,1.7900803089141846,0.48675471544265747,594000
845,9.577839227858931e-05,29800,1.7903095483779907,0.9915112145245075,596000
845,0.003762259380891919,29900,1.790015459060669,0.5992919206619263,598000
845,9.829505870584399e-05,30000,1.7906653881072998,0.9528010301291943,600000
846,5.4579424613621086e-05,30100,1.7910687923431396,0.9960643122904003,602000
846,0.001982201589271426,30200,1.7910850048065186,0.7553041279315948,604000
845,0.0007829206297174096,30300,1.7908989191055298,0.9780332166701555,606000
845,0.00017257132276427,30400,1.7913659811019897,0.9943046784028411,608000
845,0.0008360729552805424,30500,1.7912471294403076,0.32912659645080566,610000
845,0.002371830167248845,30600,1.7908223867416382,0.9428375512361526,612000
845,0.0005026531871408224,30700,1.7912416458129883,0.5062634348869324,614000
845,0.000248602416832,30800,1.7911781072616577,0.983275655657053,616000
845,0.031249254941940308,30900,1.7912349700927734,0.4750736951828003,618000
845,0.00010483428195584565,31000,1.7912147045135498,0.9659981168806553,620000
845,0.00029916033963672817,31100,1.7911646366119385,0.9927556379698217,622000
845,0.00023035751655697823,31200,1.7910642623901367,0.9911538753658533,624000
845,0.0001691082288743928,31300,1.7913259267807007,-0.19281864166259766,626000
845,0.04828577861189842,31400,1.7912921905517578,0.005252361297607422,628000
844,9.46263171499595e-05,31500,1.7911491394042969,-0.05969893932342529,630000
844,6.978949386393651e-05,31600,1.791243553161621,-0.18188953399658203,632000
844,0.07137906551361084,31700,1.791137933731079,-0.0005818605422973633,634000
844,7.779620500514284e-05,31800,1.7911479473114014,0.011075258255004883,636000
844,6.525074422825128e-05,31900,1.7910881042480469,0.14084291458129883,638000
844,4.327369970269501e-05,32000,1.7913265228271484,-0.0019423961639404297,640000
844,3.4794040402630344e-05,32100,1.791346788406372,-0.020647644996643066,642000
844,2.0722127374028787e-05,32200,1.7915589809417725,0.07493305206298828,644000
844,4.0199884097091854e-05,32300,1.7914177179336548,0.06978541612625122,646000
844,3.869351712637581e-05,32400,1.7913916110992432,-0.03991663455963135,648000
844,5.150309152668342e-05,32500,1.791558861732483,-0.033066749572753906,650000
844,6.219121860340238e-05,32600,1.7915153503417969,-0.15717792510986328,652000
844,4.06483632104937e-05,32700,1.7914364337921143,0.004299581050872803,654000
844,5.8071815146831796e-05,32800,1.7913786172866821,-0.24093472957611084,656000
844,5.172113742446527e-05,32900,1.791360855102539,0.1566562056541443,658000
844,0.02416038326919079,33000,1.7915019989013672,8.612871170043945e-05,660000
844,9.199401392834261e-05,33100,1.7915213108062744,0.021158039569854736,662000
844,8.262271876446903e-05,33200,1.7915737628936768,-0.0007971525192260742,664000
844,5.685598443960771e-05,33300,1.7916717529296875,-0.3393058776855469,666000
844,6.537394074257463e-05,33400,1.7915796041488647,0.021122395992279053,668000
844,7.600814569741488e-05,33500,1.791494607925415,0.033364713191986084,670000
844,7.052264118101448e-05,33600,1.7915617227554321,-0.09996819496154785,672000
844,6.518147711176425e-05,33700,1.7915067672729492,-0.138891339302063,674000
844,5.877386502106674e-05,33800,1.7914683818817139,-0.005659937858581543,676000
844,5.745021553593688e-05,33900,1.7913236618041992,-0.003214240074157715,678000
844,4.6121094783302397e-05,34000,1.7912204265594482,0.006332039833068848,680000
844,5.4941985581535846e-05,34100,1.7910839319229126,-0.3896106481552124,682000
844,6.806149031035602e-05,34200,1.7909311056137085,0.01807492971420288,684000
844,5.522928404388949e-05,34300,1.7909772396087646,0.02521693706512451,686000
844,4.500100476434454e-05,34400,1.7910658121109009,-0.09547019004821777,688000
844,4.977271964889951e-05,34500,1.7910703420639038,-0.12962257862091064,690000
844,4.5573866373160854e-05,34600,1.7910308837890625,0.07609307765960693,692000
844,2.9575172447948717e-05,34700,1.7908557653427124,0.006439685821533203,694000
844,2.8537961043184623e-05,34800,1.7907053232192993,-0.006048798561096191,696000
844,0.08816804736852646,34900,1.7907860279083252,0.0009998679161071777,698000
844,3.783794090850279e-05,35000,1.7911884784698486,0.19653773307800293,700000
844,3.7634570617228746e-05,35100,1.791211724281311,0.07925248146057129,702000
844,4.565584094962105e-05,35200,1.7909412384033203,-0.005152344703674316,704000
844,5.73154648009222e-05,35300,1.7907593250274658,0.04161477088928223,706000
844,5.787234476883896e-05,35400,1.7908689975738525,-0.006408095359802246,708000
844,7.261340942932293e-05,35500,1.79096257686615,0.01783144474029541,710000
844,6.871238292660564e-05,35600,1.7909233570098877,-0.1758718490600586,712000
844,6.432407826650888e-05,35700,1.7911384105682373,-0.11050474643707275,714000
844,6.0897215007571504e-05,35800,1.7908926010131836,0.1036939024925232,716000
844,6.303018017206341e-05,35900,1.791102647781372,-0.01279747486114502,718000
844,0.024197634309530258,36000,1.7910969257354736,-0.0010796785354614258,720000
844,5.597624840447679e-05,36100,1.7910137176513672,0.0007082819938659668,722000
844,4.5234093704493716e-05,36200,1.7910521030426025,0.01596754789352417,724000
844,5.733261423301883e-05,36300,1.7907871007919312,-0.02185511589050293,726000
844,6.82115278323181e-05,36400,1.7908273935317993,-0.20155787467956543,728000
844,5.186561611481011e-05,36500,1.7909104824066162,0.0006109476089477539,730000
844,6.198471237439662e-05,36600,1.791153907775879,-0.024156570434570312,732000
844,5.746618990087882e-05,36700,1.7912664413452148,-0.01810932159423828,734000
844,6.561779446201399e-05,36800,1.7912206649780273,0.0007336139678955078,736000
844,4.7898189222905785e-05,36900,1.791378378868103,0.04310101270675659,738000
844,4.95054991915822e-05,37000,1.7914197444915771,-0.0023894309997558594,740000
844,6.668463174719363e-05,37100,1.7913700342178345,-0.006769061088562012,742000
844,4.9748072342481464e-05,37200,1.7914406061172485,-0.11897838115692139,744000
844,4.046881076646969e-05,37300,1.7914822101593018,-0.018559694290161133,746000
844,5.0696817197604105e-05,37400,1.7915706634521484,0.003404557704925537,748000
844,3.9210732211358845e-05,37500,1.7915626764297485,-0.02419459819793701,750000
844,0.02419283427298069,37600,1.791332483291626,-0.0012652873992919922,752000
844,5.381355367717333e-05,37700,1.7914350032806396,-0.0012865066528320312,754000
844,5.9827416407642886e-05,37800,1.7914724349975586,-0.022008895874023438,756000
