total_timesteps,explained_variance,policy_entropy,value_loss,nupdates,fps
69600,0.9996506200404838,1.7875913381576538,3.621170617407188e-05,17400,452
70000,0.999721925589256,1.7757513523101807,4.0408569475403056e-05,17500,452
70400,0.9989900926593691,1.7768654823303223,4.2346840928075835e-05,17600,452
70800,0.981204042211175,1.7668614387512207,4.564740811474621e-05,17700,452
71200,0.918306328356266,1.7556332349777222,3.9596874557901174e-05,17800,452
71600,0.0003675222396850586,1.7506206035614014,0.12268038094043732,17900,451
72000,0.6445551514625549,1.7618721723556519,4.6913006372051314e-05,18000,451
72400,0.003144979476928711,1.775101661682129,0.12262769043445587,18100,451
72800,0.9995318486762699,1.784386157989502,4.013397847302258e-05,18200,451
73200,0.9977756722364575,1.7726746797561646,4.3372641812311485e-05,18300,451
73600,0.9521490782499313,1.7889782190322876,4.605469075613655e-05,18400,451
74000,0.9992706621414982,1.7858576774597168,4.562294634524733e-05,18500,451
74400,0.9994257291546091,1.7797138690948486,5.0442307838238776e-05,18600,451
74800,0.9993424268905073,1.7785881757736206,6.488266808446497e-05,18700,451
75200,0.9980442097876221,1.7803583145141602,6.267233402468264e-05,18800,451
75600,0.9948588572442532,1.777505874633789,7.299550634343177e-05,18900,451
76000,0.9994782742578536,1.7876253128051758,6.0611455410253257e-05,19000,451
76400,0.9994197519263253,1.779529333114624,6.0317797760944813e-05,19100,451
76800,0.9984213034622371,1.7838889360427856,6.054690675227903e-05,19200,451
77200,0.9989656526595354,1.7651879787445068,6.624663365073502e-05,19300,451
77600,0.9991473178961314,1.7754493951797485,5.168542338651605e-05,19400,450
78000,0.9995963804540224,1.7750637531280518,4.8186771891778335e-05,19500,450
78400,0.9973103734664619,1.7757072448730469,5.2620001952163875e-05,19600,450
78800,0.9283169135451317,1.7719662189483643,4.9463254981674254e-05,19700,450
79200,0.0002568364143371582,1.7776185274124146,0.1226164773106575,19800,450
79600,-0.00015616416931152344,1.781888723373413,0.12775495648384094,19900,450
80000,0.006217658519744873,1.779207706451416,0.12252733111381531,20000,450
80400,0.9997099789907224,1.7867997884750366,5.8347763115307316e-05,20100,450
80800,0.9995460120844655,1.7836874723434448,4.6515342546626925e-05,20200,450
81200,0.9995634402148426,1.7868099212646484,5.9163001424167305e-05,20300,450
81600,0.994851206894964,1.7851412296295166,4.9918795411940664e-05,20400,450
82000,0.7027991712093353,1.7880120277404785,2.9813410947099328e-05,20500,450
82400,0.993663270957768,1.789924144744873,3.169637420796789e-05,20600,450
82800,0.992122383788228,1.7774746417999268,4.915274621453136e-05,20700,450
83200,0.9998652735666838,1.7833703756332397,4.4463864469435066e-05,20800,450
83600,0.9948402270674706,1.777729868888855,4.970959707861766e-05,20900,450
84000,0.952874444425106,1.768571138381958,6.116063013905659e-05,21000,450
84400,0.9992030815919861,1.7791494131088257,6.572051643161103e-05,21100,450
84800,0.9987736381590366,1.7842390537261963,6.959490565350279e-05,21200,449
85200,0.9951479146257043,1.776766300201416,5.8637597248889506e-05,21300,449
85600,0.9980850472347811,1.7728837728500366,5.676422006217763e-05,21400,449
86000,0.9484749808907509,1.780964732170105,5.2628594858106226e-05,21500,449
86400,0.8840091899037361,1.780781865119934,5.37780397280585e-05,21600,449
86800,0.9459815099835396,1.7793464660644531,6.400509300874546e-05,21700,449
87200,0.9388855211436749,1.783509612083435,5.825347398058511e-05,21800,449
87600,0.9981643535429612,1.7769663333892822,3.784246655413881e-05,21900,449
88000,-0.0016690492630004883,1.7695679664611816,0.12259280681610107,22000,449
88400,0.9112992882728577,1.7719563245773315,4.289261414669454e-05,22100,449
88800,0.9986807996174321,1.7656779289245605,4.755934060085565e-05,22200,449
89200,0.9901207061484456,1.776360273361206,4.217472451273352e-05,22300,449
89600,0.945924423635006,1.7742197513580322,5.402210445026867e-05,22400,449
90000,0.24106746912002563,1.7698571681976318,6.228800339158624e-05,22500,449
90400,0.7842224091291428,1.7746931314468384,5.577346382779069e-05,22600,449
90800,0.9541025795042515,1.7696937322616577,5.733492798754014e-05,22700,449
91200,0.9997886273922632,1.7447974681854248,5.7597786508267745e-05,22800,449
91600,0.997974349418655,1.7458202838897705,5.910929394303821e-05,22900,449
92000,0.9805152453482151,1.7560653686523438,5.8455552789382637e-05,23000,449
92400,0.9958915254101157,1.7667893171310425,5.069400867796503e-05,23100,449
92800,0.9776757527142763,1.7791454792022705,5.543536099139601e-05,23200,449
93200,-1.0156245231628418,1.7812955379486084,5.427395808510482e-05,23300,449
93600,1.8894672393798828e-05,1.7730530500411987,0.12263169884681702,23400,449
94000,0.9585334770381451,1.7778561115264893,5.185572081245482e-05,23500,449
94400,0.9665740467607975,1.7756099700927734,6.297217623796314e-05,23600,449
94800,0.9874872723594308,1.7841460704803467,6.193954322952777e-05,23700,449
95200,0.9410650357604027,1.784300446510315,5.403609975473955e-05,23800,448
95600,0.9832698665559292,1.7794623374938965,5.5484691984020174e-05,23900,448
96000,0.6912363767623901,1.788374662399292,5.669169331667945e-05,24000,448
96400,0.9691545534878969,1.782187581062317,6.364186992868781e-05,24100,448
96800,0.9236631020903587,1.7774031162261963,6.945581117179245e-05,24200,448
97200,0.9992829679977149,1.7704378366470337,6.747429142706096e-05,24300,448
97600,0.09345024824142456,1.7716600894927979,6.725666025886312e-05,24400,448
98000,0.8572801351547241,1.7687957286834717,7.040101627353579e-05,24500,448
98400,0.9985644554253668,1.7624869346618652,6.645372923230752e-05,24600,448
98800,0.9693111982196569,1.7565436363220215,6.477526039816439e-05,24700,448
99200,0.9992915285401978,1.779209852218628,5.7486693549435586e-05,24800,448
99600,0.9848794732242823,1.7816336154937744,5.7758588809520006e-05,24900,448
100000,0.9979573593009263,1.7838408946990967,5.502545172930695e-05,25000,448
100400,0.9758061114698648,1.775266408920288,5.469296229421161e-05,25100,448
100800,0.27493470907211304,1.7685307264328003,4.5352680899668485e-05,25200,448
101200,0.64201819896698,1.775825023651123,4.9884933105204254e-05,25300,448
101600,0.9825318735092878,1.7758839130401611,6.17393379798159e-05,25400,448
102000,0.998543057590723,1.7796809673309326,6.705567648168653e-05,25500,448
102400,0.9996509993216023,1.773531436920166,5.50831864529755e-05,25600,448
102800,0.9993007241282612,1.7742881774902344,4.3781063141068444e-05,25700,448
103200,0.0006244778633117676,1.786553144454956,0.12266537547111511,25800,448
103600,0.830882117152214,1.789194107055664,4.6462944737868384e-05,25900,448
104000,0.9988309144973755,1.788846731185913,5.823960236739367e-05,26000,448
104400,0.9965441960375756,1.781028151512146,5.96236131968908e-05,26100,447
104800,0.9789334051311016,1.7839539051055908,5.79764528083615e-05,26200,447
105200,0.895656481385231,1.778525948524475,5.3684219892602414e-05,26300,447
105600,0.9985810130601749,1.7739317417144775,5.93625009059906e-05,26400,447
106000,0.998790159705095,1.7649366855621338,5.6854452850529924e-05,26500,447
106400,0.9996640717727132,1.7780003547668457,5.21404217579402e-05,26600,447
106800,0.9995021781069227,1.7829947471618652,5.182086897548288e-05,26700,447
107200,0.998816667823121,1.78456449508667,5.59575273655355e-05,26800,447
107600,0.9973870899993926,1.7854485511779785,5.8857094700215384e-05,26900,447
108000,0.9032391756772995,1.7825230360031128,6.770004983991385e-05,27000,447
108400,0.5654107332229614,1.7823164463043213,5.730080738430843e-05,27100,447
108800,0.9679066613316536,1.780735969543457,5.6982582464115694e-05,27200,447
109200,0.9994027786888182,1.7789406776428223,5.5031701776897535e-05,27300,447
109600,0.9797367732971907,1.7816897630691528,5.186703856452368e-05,27400,447
110000,0.9920819327235222,1.7838135957717896,5.321009666658938e-05,27500,447
110400,0.987484022974968,1.779672384262085,5.4922249546507373e-05,27600,447
110800,0.997533367248252,1.7737361192703247,4.6117231249809265e-05,27700,447
111200,0.9531704559922218,1.7783563137054443,5.2494309784378856e-05,27800,447
111600,0.8840323463082314,1.7628722190856934,5.9183192206546664e-05,27900,447
112000,0.9959762217476964,1.7556861639022827,6.93778129061684e-05,28000,447
112400,0.744432806968689,1.7662968635559082,7.332432141993195e-05,28100,447
112800,0.9694887213408947,1.7801504135131836,6.6559856350068e-05,28200,447
113200,0.952554427087307,1.7798300981521606,6.88580985297449e-05,28300,447
113600,0.9991323628928512,1.7853271961212158,6.574048893526196e-05,28400,447
114000,0.9978138173464686,1.772423505783081,5.80806408834178e-05,28500,447
114400,0.998860823456198,1.771681308746338,4.6678749640705064e-05,28600,447
114800,0.9985733280191198,1.7607367038726807,5.466333823278546e-05,28700,447
115200,0.9762923717498779,1.7693312168121338,5.8833113143919036e-05,28800,447
115600,0.9605958759784698,1.7720022201538086,6.486514757853001e-05,28900,447
116000,0.9994948146049865,1.7812681198120117,6.51854497846216e-05,29000,447
116400,0.9956374908797443,1.7820465564727783,7.417963934130967e-05,29100,447
116800,0.9526826366782188,1.7707947492599487,5.785560279036872e-05,29200,447
117200,0.9993163585313596,1.7687292098999023,5.274450086290017e-05,29300,447
117600,0.9968011267483234,1.760430932044983,4.59180046163965e-05,29400,447
118000,0.9980461781378835,1.7810918092727661,5.473500641528517e-05,29500,447
118400,0.9980822396464646,1.7845592498779297,5.1387301937211305e-05,29600,447
118800,0.9976970760617405,1.7844256162643433,5.283475911710411e-05,29700,447
119200,0.9340515062212944,1.7824715375900269,6.851702346466482e-05,29800,447
119600,0.00033909082412719727,1.767770767211914,0.1219826191663742,29900,447
120000,0.9995741499587893,1.7715741395950317,6.684706750093028e-05,30000,447
120400,0.9665541760623455,1.7551703453063965,6.705307168886065e-05,30100,447
120800,0.9991681873216294,1.7600606679916382,7.105332042556256e-05,30200,447
121200,0.0010318756103515625,1.7661857604980469,0.1222885325551033,30300,447
121600,0.9955073948949575,1.7706124782562256,5.027969746151939e-05,30400,447
122000,0.9920017551630735,1.7704063653945923,5.833939940202981e-05,30500,447
122400,0.3405769467353821,1.7699037790298462,6.773555651307106e-05,30600,447
